x	y	key	showSelected1	showSelected2	PANEL	group
1	1	1	-2.1	finite	1	1
1	1	1	-2.06	finite	1	1
1	1	1	-2.02	finite	1	1
1	1	1	-1.98	finite	1	1
1	1	1	-1.94	finite	1	1
1	1	1	-1.9	finite	1	1
1	1	1	-1.86	finite	1	1
1	1	1	-1.82	finite	1	1
1	1	1	-1.78	finite	1	1
1	1	1	-1.74	finite	1	1
1	1	1	-1.7	finite	1	1
1	1	1	-1.66	finite	1	1
1	1	1	-1.62	finite	1	1
1	1	1	-1.58	finite	1	1
1	1	1	-1.54	finite	1	1
1	1	1	-1.5	finite	1	1
1	1	1	-1.46	finite	1	1
1	1	1	-1.42	finite	1	1
1	1	1	-1.38	finite	1	1
1	1	1	-1.34	finite	1	1
1	1	1	-1.3	finite	1	1
1	1	1	-1.26	finite	1	1
1	1	1	-1.22	finite	1	1
1	1	1	-1.18	finite	1	1
1	1	1	-1.14	finite	1	1
1	1	1	-1.1	finite	1	1
1	1	1	-1.06	finite	1	1
1	1	1	-1.02	finite	1	1
1	1	1	-0.98	finite	1	1
1	1	1	-0.94	finite	1	1
1	1	1	-0.9	finite	1	1
1	1	1	-0.86	finite	1	1
1	1	1	-0.82	finite	1	1
1	1	1	-0.78	finite	1	1
1	1	1	-0.74	finite	1	1
1	1	1	-0.7	finite	1	1
1	1	1	-0.66	finite	1	1
1	1	1	-0.62	finite	1	1
1	0.5	1	-0.62	finite	1	1
1	1	1	-0.58	finite	1	1
1	0.5	1	-0.58	finite	1	1
1	1	1	-0.54	finite	1	1
1	0.5	1	-0.54	finite	1	1
1	1	1	-0.5	finite	1	1
1	0.5	1	-0.5	finite	1	1
1	0	1	-0.5	finite	1	1
1	1	1	-0.46	finite	1	1
1	0.5	1	-0.46	finite	1	1
1	0	1	-0.46	finite	1	1
1	1	1	-0.42	finite	1	1
1	0.5	1	-0.42	finite	1	1
1	0	1	-0.42	finite	1	1
1	1	1	-0.38	finite	1	1
1	0.5	1	-0.38	finite	1	1
1	0	1	-0.38	finite	1	1
1	1	1	-0.34	finite	1	1
1	0.5	1	-0.34	finite	1	1
1	0	1	-0.34	finite	1	1
1	1	1	-0.3	finite	1	1
1	0.5	1	-0.3	finite	1	1
1	0	1	-0.3	finite	1	1
1	1	1	-0.26	finite	1	1
1	0.5	1	-0.26	finite	1	1
1	0	1	-0.26	finite	1	1
1	0.5	1	-0.26	finite	1	1
1	1	1	-0.22	finite	1	1
1	0.5	1	-0.22	finite	1	1
1	0	1	-0.22	finite	1	1
1	0.5	1	-0.22	finite	1	1
1	1	1	-0.18	finite	1	1
1	0.5	1	-0.18	finite	1	1
1	0	1	-0.18	finite	1	1
1	0.5	1	-0.18	finite	1	1
1	0.5	1	-0.14	finite	1	1
1	0	1	-0.14	finite	1	1
1	0.5	1	-0.14	finite	1	1
0.833333333333333	0.5	1	-0.14	finite	1	1
1	0.5	1	-0.1	finite	1	1
1	0	1	-0.1	finite	1	1
1	0.5	1	-0.1	finite	1	1
0.833333333333333	0.5	1	-0.1	finite	1	1
0.833333333333333	1	1	-0.1	finite	1	1
1	0.5	1	-0.0600000000000001	finite	1	1
1	0	1	-0.0600000000000001	finite	1	1
1	0.5	1	-0.0600000000000001	finite	1	1
0.833333333333333	0.5	1	-0.0600000000000001	finite	1	1
0.833333333333333	1	1	-0.0600000000000001	finite	1	1
0.666666666666667	1	1	-0.0600000000000001	finite	1	1
0.5	1	1	-0.0600000000000001	finite	1	1
0.333333333333333	1	1	-0.0600000000000001	finite	1	1
1	0	1	-0.02	finite	1	1
1	0.5	1	-0.02	finite	1	1
0.833333333333333	0.5	1	-0.02	finite	1	1
0.833333333333333	1	1	-0.02	finite	1	1
0.666666666666667	1	1	-0.02	finite	1	1
0.5	1	1	-0.02	finite	1	1
0.333333333333333	1	1	-0.02	finite	1	1
0.166666666666667	1	1	-0.02	finite	1	1
0	1	1	-0.02	finite	1	1
1	0	1	0.02	finite	1	1
1	0.5	1	0.02	finite	1	1
0.833333333333333	0.5	1	0.02	finite	1	1
0.833333333333333	1	1	0.02	finite	1	1
0.666666666666667	1	1	0.02	finite	1	1
0.5	1	1	0.02	finite	1	1
0.333333333333333	1	1	0.02	finite	1	1
0.166666666666667	1	1	0.02	finite	1	1
0	1	1	0.02	finite	1	1
1	0	1	0.0600000000000001	finite	1	1
1	0.5	1	0.0600000000000001	finite	1	1
0.833333333333333	0.5	1	0.0600000000000001	finite	1	1
0.833333333333333	1	1	0.0600000000000001	finite	1	1
0.666666666666667	1	1	0.0600000000000001	finite	1	1
0.5	1	1	0.0600000000000001	finite	1	1
0.333333333333333	1	1	0.0600000000000001	finite	1	1
0.166666666666667	1	1	0.0600000000000001	finite	1	1
0	1	1	0.0600000000000001	finite	1	1
0.166666666666667	1	1	0.0600000000000001	finite	1	1
0.333333333333333	1	1	0.0600000000000001	finite	1	1
1	0	1	0.1	finite	1	1
1	0.5	1	0.1	finite	1	1
0.833333333333333	0.5	1	0.1	finite	1	1
0.833333333333333	1	1	0.1	finite	1	1
0.666666666666667	1	1	0.1	finite	1	1
0.5	1	1	0.1	finite	1	1
0.333333333333333	1	1	0.1	finite	1	1
0.166666666666667	1	1	0.1	finite	1	1
0	1	1	0.1	finite	1	1
0.166666666666667	1	1	0.1	finite	1	1
0.333333333333333	1	1	0.1	finite	1	1
0.5	1	1	0.1	finite	1	1
0.666666666666667	1	1	0.1	finite	1	1
0.833333333333333	1	1	0.1	finite	1	1
1	0	1	0.14	finite	1	1
1	0.5	1	0.14	finite	1	1
0.833333333333333	0.5	1	0.14	finite	1	1
0.833333333333333	1	1	0.14	finite	1	1
0.666666666666667	1	1	0.14	finite	1	1
0.5	1	1	0.14	finite	1	1
0.333333333333333	1	1	0.14	finite	1	1
0.166666666666667	1	1	0.14	finite	1	1
0	1	1	0.14	finite	1	1
0.166666666666667	1	1	0.14	finite	1	1
0.333333333333333	1	1	0.14	finite	1	1
0.5	1	1	0.14	finite	1	1
0.666666666666667	1	1	0.14	finite	1	1
0.833333333333333	1	1	0.14	finite	1	1
0.666666666666667	1	1	0.14	finite	1	1
0.666666666666667	0.5	1	0.14	finite	1	1
1	0	1	0.18	finite	1	1
1	0.5	1	0.18	finite	1	1
0.833333333333333	0.5	1	0.18	finite	1	1
0.833333333333333	1	1	0.18	finite	1	1
0.666666666666667	1	1	0.18	finite	1	1
0.5	1	1	0.18	finite	1	1
0.333333333333333	1	1	0.18	finite	1	1
0.166666666666667	1	1	0.18	finite	1	1
0	1	1	0.18	finite	1	1
0.166666666666667	1	1	0.18	finite	1	1
0.333333333333333	1	1	0.18	finite	1	1
0.5	1	1	0.18	finite	1	1
0.666666666666667	1	1	0.18	finite	1	1
0.833333333333333	1	1	0.18	finite	1	1
0.666666666666667	1	1	0.18	finite	1	1
0.666666666666667	0.5	1	0.18	finite	1	1
0.833333333333333	0.5	1	0.18	finite	1	1
0.666666666666667	0.5	1	0.18	finite	1	1
1	0	1	0.22	finite	1	1
1	0.5	1	0.22	finite	1	1
0.833333333333333	0.5	1	0.22	finite	1	1
0.833333333333333	1	1	0.22	finite	1	1
0.666666666666667	1	1	0.22	finite	1	1
0.5	1	1	0.22	finite	1	1
0.333333333333333	1	1	0.22	finite	1	1
0.166666666666667	1	1	0.22	finite	1	1
0	1	1	0.22	finite	1	1
0.166666666666667	1	1	0.22	finite	1	1
0.333333333333333	1	1	0.22	finite	1	1
0.5	1	1	0.22	finite	1	1
0.666666666666667	1	1	0.22	finite	1	1
0.833333333333333	1	1	0.22	finite	1	1
0.666666666666667	1	1	0.22	finite	1	1
0.666666666666667	0.5	1	0.22	finite	1	1
0.833333333333333	0.5	1	0.22	finite	1	1
0.666666666666667	0.5	1	0.22	finite	1	1
1	0.5	1	0.26	finite	1	1
0.833333333333333	0.5	1	0.26	finite	1	1
0.833333333333333	1	1	0.26	finite	1	1
0.666666666666667	1	1	0.26	finite	1	1
0.5	1	1	0.26	finite	1	1
0.333333333333333	1	1	0.26	finite	1	1
0.166666666666667	1	1	0.26	finite	1	1
0	1	1	0.26	finite	1	1
0.166666666666667	1	1	0.26	finite	1	1
0.333333333333333	1	1	0.26	finite	1	1
0.5	1	1	0.26	finite	1	1
0.666666666666667	1	1	0.26	finite	1	1
0.833333333333333	1	1	0.26	finite	1	1
0.666666666666667	1	1	0.26	finite	1	1
0.666666666666667	0.5	1	0.26	finite	1	1
0.833333333333333	0.5	1	0.26	finite	1	1
0.666666666666667	0.5	1	0.26	finite	1	1
0.5	0.5	1	0.26	finite	1	1
1	0.5	1	0.3	finite	1	1
0.833333333333333	0.5	1	0.3	finite	1	1
0.833333333333333	1	1	0.3	finite	1	1
0.666666666666667	1	1	0.3	finite	1	1
0.5	1	1	0.3	finite	1	1
0.333333333333333	1	1	0.3	finite	1	1
0.166666666666667	1	1	0.3	finite	1	1
0	1	1	0.3	finite	1	1
0.166666666666667	1	1	0.3	finite	1	1
0.333333333333333	1	1	0.3	finite	1	1
0.5	1	1	0.3	finite	1	1
0.666666666666667	1	1	0.3	finite	1	1
0.833333333333333	1	1	0.3	finite	1	1
0.666666666666667	1	1	0.3	finite	1	1
0.666666666666667	0.5	1	0.3	finite	1	1
0.833333333333333	0.5	1	0.3	finite	1	1
0.666666666666667	0.5	1	0.3	finite	1	1
0.5	0.5	1	0.3	finite	1	1
0.5	0	1	0.3	finite	1	1
0.833333333333333	0.5	1	0.34	finite	1	1
0.833333333333333	1	1	0.34	finite	1	1
0.666666666666667	1	1	0.34	finite	1	1
0.5	1	1	0.34	finite	1	1
0.333333333333333	1	1	0.34	finite	1	1
0.166666666666667	1	1	0.34	finite	1	1
0	1	1	0.34	finite	1	1
0.166666666666667	1	1	0.34	finite	1	1
0.333333333333333	1	1	0.34	finite	1	1
0.5	1	1	0.34	finite	1	1
0.666666666666667	1	1	0.34	finite	1	1
0.833333333333333	1	1	0.34	finite	1	1
0.666666666666667	1	1	0.34	finite	1	1
0.666666666666667	0.5	1	0.34	finite	1	1
0.833333333333333	0.5	1	0.34	finite	1	1
0.666666666666667	0.5	1	0.34	finite	1	1
0.5	0.5	1	0.34	finite	1	1
0.5	0	1	0.34	finite	1	1
0.333333333333333	0	1	0.34	finite	1	1
0.833333333333333	1	1	0.38	finite	1	1
0.666666666666667	1	1	0.38	finite	1	1
0.5	1	1	0.38	finite	1	1
0.333333333333333	1	1	0.38	finite	1	1
0.166666666666667	1	1	0.38	finite	1	1
0	1	1	0.38	finite	1	1
0.166666666666667	1	1	0.38	finite	1	1
0.333333333333333	1	1	0.38	finite	1	1
0.5	1	1	0.38	finite	1	1
0.666666666666667	1	1	0.38	finite	1	1
0.833333333333333	1	1	0.38	finite	1	1
0.666666666666667	1	1	0.38	finite	1	1
0.666666666666667	0.5	1	0.38	finite	1	1
0.833333333333333	0.5	1	0.38	finite	1	1
0.666666666666667	0.5	1	0.38	finite	1	1
0.5	0.5	1	0.38	finite	1	1
0.5	0	1	0.38	finite	1	1
0.333333333333333	0	1	0.38	finite	1	1
0.166666666666667	0	1	0.38	finite	1	1
0.666666666666667	1	1	0.42	finite	1	1
0.5	1	1	0.42	finite	1	1
0.333333333333333	1	1	0.42	finite	1	1
0.166666666666667	1	1	0.42	finite	1	1
0	1	1	0.42	finite	1	1
0.166666666666667	1	1	0.42	finite	1	1
0.333333333333333	1	1	0.42	finite	1	1
0.5	1	1	0.42	finite	1	1
0.666666666666667	1	1	0.42	finite	1	1
0.833333333333333	1	1	0.42	finite	1	1
0.666666666666667	1	1	0.42	finite	1	1
0.666666666666667	0.5	1	0.42	finite	1	1
0.833333333333333	0.5	1	0.42	finite	1	1
0.666666666666667	0.5	1	0.42	finite	1	1
0.5	0.5	1	0.42	finite	1	1
0.5	0	1	0.42	finite	1	1
0.333333333333333	0	1	0.42	finite	1	1
0.166666666666667	0	1	0.42	finite	1	1
0	1	1	0.46	finite	1	1
0.166666666666667	1	1	0.46	finite	1	1
0.333333333333333	1	1	0.46	finite	1	1
0.5	1	1	0.46	finite	1	1
0.666666666666667	1	1	0.46	finite	1	1
0.833333333333333	1	1	0.46	finite	1	1
0.666666666666667	1	1	0.46	finite	1	1
0.666666666666667	0.5	1	0.46	finite	1	1
0.833333333333333	0.5	1	0.46	finite	1	1
0.666666666666667	0.5	1	0.46	finite	1	1
0.5	0.5	1	0.46	finite	1	1
0.5	0	1	0.46	finite	1	1
0.333333333333333	0	1	0.46	finite	1	1
0.166666666666667	0	1	0.46	finite	1	1
0	1	1	0.5	finite	1	1
0.166666666666667	1	1	0.5	finite	1	1
0.333333333333333	1	1	0.5	finite	1	1
0.5	1	1	0.5	finite	1	1
0.666666666666667	1	1	0.5	finite	1	1
0.833333333333333	1	1	0.5	finite	1	1
0.666666666666667	1	1	0.5	finite	1	1
0.666666666666667	0.5	1	0.5	finite	1	1
0.833333333333333	0.5	1	0.5	finite	1	1
0.666666666666667	0.5	1	0.5	finite	1	1
0.5	0.5	1	0.5	finite	1	1
0.5	0	1	0.5	finite	1	1
0.333333333333333	0	1	0.5	finite	1	1
0.166666666666667	0	1	0.5	finite	1	1
0	1	1	0.54	finite	1	1
0.166666666666667	1	1	0.54	finite	1	1
0.333333333333333	1	1	0.54	finite	1	1
0.5	1	1	0.54	finite	1	1
0.666666666666667	1	1	0.54	finite	1	1
0.833333333333333	1	1	0.54	finite	1	1
0.666666666666667	1	1	0.54	finite	1	1
0.666666666666667	0.5	1	0.54	finite	1	1
0.833333333333333	0.5	1	0.54	finite	1	1
0.666666666666667	0.5	1	0.54	finite	1	1
0.5	0.5	1	0.54	finite	1	1
0.5	0	1	0.54	finite	1	1
0.333333333333333	0	1	0.54	finite	1	1
0.166666666666667	0	1	0.54	finite	1	1
0.666666666666667	1	1	0.58	finite	1	1
0.833333333333333	1	1	0.58	finite	1	1
0.666666666666667	1	1	0.58	finite	1	1
0.666666666666667	0.5	1	0.58	finite	1	1
0.833333333333333	0.5	1	0.58	finite	1	1
0.666666666666667	0.5	1	0.58	finite	1	1
0.5	0.5	1	0.58	finite	1	1
0.5	0	1	0.58	finite	1	1
0.333333333333333	0	1	0.58	finite	1	1
0.166666666666667	0	1	0.58	finite	1	1
0.833333333333333	1	1	0.62	finite	1	1
0.666666666666667	1	1	0.62	finite	1	1
0.666666666666667	0.5	1	0.62	finite	1	1
0.833333333333333	0.5	1	0.62	finite	1	1
0.666666666666667	0.5	1	0.62	finite	1	1
0.5	0.5	1	0.62	finite	1	1
0.5	0	1	0.62	finite	1	1
0.333333333333333	0	1	0.62	finite	1	1
0.166666666666667	0	1	0.62	finite	1	1
0.666666666666667	0.5	1	0.66	finite	1	1
0.833333333333333	0.5	1	0.66	finite	1	1
0.666666666666667	0.5	1	0.66	finite	1	1
0.5	0.5	1	0.66	finite	1	1
0.5	0	1	0.66	finite	1	1
0.333333333333333	0	1	0.66	finite	1	1
0.166666666666667	0	1	0.66	finite	1	1
0.666666666666667	0.5	1	0.7	finite	1	1
0.5	0.5	1	0.7	finite	1	1
0.5	0	1	0.7	finite	1	1
0.333333333333333	0	1	0.7	finite	1	1
0.166666666666667	0	1	0.7	finite	1	1
0.5	0.5	1	0.74	finite	1	1
0.5	0	1	0.74	finite	1	1
0.333333333333333	0	1	0.74	finite	1	1
0.166666666666667	0	1	0.74	finite	1	1
0.5	0	1	0.78	finite	1	1
0.333333333333333	0	1	0.78	finite	1	1
0.166666666666667	0	1	0.78	finite	1	1
0.5	0	1	0.82	finite	1	1
0.333333333333333	0	1	0.82	finite	1	1
0.166666666666667	0	1	0.82	finite	1	1
0.333333333333333	0	1	0.86	finite	1	1
0.166666666666667	0	1	0.86	finite	1	1
0.166666666666667	0	1	0.9	finite	1	1
0.166666666666667	0	1	0.94	finite	1	1
0.166666666666667	0	1	0.98	finite	1	1
0.166666666666667	0	1	1.02	finite	1	1
0.166666666666667	0	1	1.06	finite	1	1
0.166666666666667	0	1	1.1	finite	1	1
0.166666666666667	0	1	1.14	finite	1	1
0.166666666666667	0	1	1.18	finite	1	1
0.166666666666667	0	1	1.22	finite	1	1
0.166666666666667	0	1	1.26	finite	1	1
0.166666666666667	0	1	1.3	finite	1	1
0.166666666666667	0	1	1.34	finite	1	1
0.166666666666667	0	1	1.38	finite	1	1
0.166666666666667	0	1	1.42	finite	1	1
0.166666666666667	0	1	1.46	finite	1	1
0.166666666666667	0	1	1.5	finite	1	1
0.166666666666667	0	1	1.54	finite	1	1
