x	y	key	label	showSelected1	showSelected2	PANEL
1	1	1	1	finite	-2.1	1
1	1	1	1	finite	-2.06	1
1	1	1	1	finite	-2.02	1
1	1	1	1	finite	-1.98	1
1	1	1	1	finite	-1.94	1
1	1	1	1	finite	-1.9	1
1	1	1	1	finite	-1.86	1
1	1	1	1	finite	-1.82	1
1	1	1	1	finite	-1.78	1
1	1	1	1	finite	-1.74	1
1	1	1	1	finite	-1.7	1
1	1	1	1	finite	-1.66	1
1	1	1	1	finite	-1.62	1
1	1	1	1	finite	-1.58	1
1	1	1	1	finite	-1.54	1
1	1	1	1	finite	-1.5	1
1	1	1	1	finite	-1.46	1
1	1	1	1	finite	-1.42	1
1	1	1	1	finite	-1.38	1
1	1	1	1	finite	-1.34	1
1	1	1	1	finite	-1.3	1
1	1	1	1	finite	-1.26	1
1	1	1	1	finite	-1.22	1
1	1	1	1	finite	-1.18	1
1	1	1	1	finite	-1.14	1
1	1	1	1	finite	-1.1	1
1	1	1	1	finite	-1.06	1
1	1	1	1	finite	-1.02	1
1	1	1	1	finite	-0.98	1
1	1	1	1	finite	-0.94	1
1	1	1	1	finite	-0.9	1
1	1	1	1	finite	-0.86	1
1	1	1	1	finite	-0.82	1
1	1	1	1	finite	-0.78	1
1	1	1	1	finite	-0.74	1
1	1	1	1	finite	-0.7	1
1	1	1	1	finite	-0.66	1
1	0.5	1	2	finite	-0.62	1
1	0.5	1	2	finite	-0.58	1
1	0.5	1	2	finite	-0.54	1
1	0	1	3	finite	-0.5	1
1	0	1	3	finite	-0.46	1
1	0	1	3	finite	-0.42	1
1	0	1	3	finite	-0.38	1
1	0	1	3	finite	-0.34	1
1	0	1	3	finite	-0.3	1
1	0.5	1	4	finite	-0.26	1
1	0.5	1	4	finite	-0.22	1
1	0.5	1	4	finite	-0.18	1
0.833333333333333	0.5	1	5	finite	-0.14	1
0.833333333333333	1	1	6	finite	-0.1	1
0.333333333333333	1	1	9	finite	-0.0600000000000001	1
0	1	1	11	finite	-0.02	1
0	1	1	11	finite	0.02	1
0.333333333333333	1	1	13	finite	0.0600000000000001	1
0.833333333333333	1	1	16	finite	0.1	1
0.666666666666667	0.5	1	18	finite	0.14	1
0.666666666666667	0.5	1	20	finite	0.18	1
0.666666666666667	0.5	1	20	finite	0.22	1
0.5	0.5	1	21	finite	0.26	1
0.5	0	1	22	finite	0.3	1
0.333333333333333	0	1	23	finite	0.34	1
0.166666666666667	0	1	24	finite	0.38	1
0.166666666666667	0	1	24	finite	0.42	1
0.166666666666667	0	1	24	finite	0.46	1
0.166666666666667	0	1	24	finite	0.5	1
0.166666666666667	0	1	24	finite	0.54	1
0.166666666666667	0	1	24	finite	0.58	1
0.166666666666667	0	1	24	finite	0.62	1
0.166666666666667	0	1	24	finite	0.66	1
0.166666666666667	0	1	24	finite	0.7	1
0.166666666666667	0	1	24	finite	0.74	1
0.166666666666667	0	1	24	finite	0.78	1
0.166666666666667	0	1	24	finite	0.82	1
0.166666666666667	0	1	24	finite	0.86	1
0.166666666666667	0	1	24	finite	0.9	1
0.166666666666667	0	1	24	finite	0.94	1
0.166666666666667	0	1	24	finite	0.98	1
0.166666666666667	0	1	24	finite	1.02	1
0.166666666666667	0	1	24	finite	1.06	1
0.166666666666667	0	1	24	finite	1.1	1
0.166666666666667	0	1	24	finite	1.14	1
0.166666666666667	0	1	24	finite	1.18	1
0.166666666666667	0	1	24	finite	1.22	1
0.166666666666667	0	1	24	finite	1.26	1
0.166666666666667	0	1	24	finite	1.3	1
0.166666666666667	0	1	24	finite	1.34	1
0.166666666666667	0	1	24	finite	1.38	1
0.166666666666667	0	1	24	finite	1.42	1
0.166666666666667	0	1	24	finite	1.46	1
0.166666666666667	0	1	24	finite	1.5	1
0.166666666666667	0	1	24	finite	1.54	1
0.166666666666667	0	1	24	finite	1.58	1
0.166666666666667	0	1	24	finite	1.62	1
0.166666666666667	0	1	24	finite	1.66	1
0.166666666666667	0	1	24	finite	1.7	1
0.166666666666667	0	1	24	finite	1.74	1
0.166666666666667	0	1	24	finite	1.78	1
0.166666666666667	0	1	24	finite	1.82	1
0	0	1	25	finite	1.86	1
0	0	1	25	finite	1.9	1
0	0	1	25	finite	1.94	1
0	0	1	25	finite	1.98	1
1	1	1	1	infinite	-2.1	2
1	1	1	1	infinite	-2.06	2
1	1	1	1	infinite	-2.02	2
0.833333333333333	1	1	2	infinite	-1.98	2
0.833333333333333	1	1	2	infinite	-1.94	2
0.833333333333333	1	1	2	infinite	-1.9	2
1	1	1	3	infinite	-1.86	2
1	1	1	3	infinite	-1.82	2
1	1	1	3	infinite	-1.78	2
1	1	1	3	infinite	-1.74	2
1	1	1	3	infinite	-1.7	2
1	1	1	3	infinite	-1.66	2
1	1	1	3	infinite	-1.62	2
1	1	1	3	infinite	-1.58	2
1	1	1	3	infinite	-1.54	2
1	1	1	3	infinite	-1.5	2
1	1	1	3	infinite	-1.46	2
1	1	1	3	infinite	-1.42	2
1	1	1	3	infinite	-1.38	2
1	1	1	3	infinite	-1.34	2
1	1	1	3	infinite	-1.3	2
1	1	1	3	infinite	-1.26	2
1	1	1	3	infinite	-1.22	2
1	1	1	3	infinite	-1.18	2
1	1	1	3	infinite	-1.14	2
1	1	1	3	infinite	-1.1	2
1	1	1	3	infinite	-1.06	2
1	1	1	3	infinite	-1.02	2
1	1	1	3	infinite	-0.98	2
1	1	1	3	infinite	-0.94	2
1	1	1	3	infinite	-0.9	2
1	1	1	3	infinite	-0.86	2
1	1	1	3	infinite	-0.82	2
1	1	1	3	infinite	-0.78	2
1	1	1	3	infinite	-0.74	2
1	1	1	3	infinite	-0.7	2
1	1	1	3	infinite	-0.66	2
1	1	1	3	infinite	-0.62	2
0.833333333333333	1	1	4	infinite	-0.58	2
0.833333333333333	1	1	4	infinite	-0.54	2
0.666666666666667	1	1	5	infinite	-0.5	2
0.666666666666667	1	1	5	infinite	-0.46	2
0.833333333333333	1	1	6	infinite	-0.42	2
0.666666666666667	1	1	7	infinite	-0.38	2
0.5	1	1	8	infinite	-0.34	2
0.5	1	1	8	infinite	-0.3	2
0.666666666666667	1	1	11	infinite	-0.26	2
0.666666666666667	1	1	11	infinite	-0.22	2
0.833333333333333	1	1	12	infinite	-0.18	2
1	1	1	13	infinite	-0.14	2
1	1	1	13	infinite	-0.1	2
0.166666666666667	1	1	14	infinite	-0.1	2
0	1	1	15	infinite	-0.1	2
0	1	1	15	infinite	-0.0600000000000001	2
0	1	1	15	infinite	-0.02	2
0	1	1	15	infinite	0.02	2
0	1	1	15	infinite	0.0600000000000001	2
0	1	1	15	infinite	0.1	2
0	0	1	16	infinite	0.1	2
0	0	1	16	infinite	0.14	2
0	0	1	16	infinite	0.18	2
0	0	1	16	infinite	0.22	2
0	0	1	16	infinite	0.26	2
0	0	1	16	infinite	0.3	2
0	0	1	16	infinite	0.34	2
0	0.5	1	17	infinite	0.38	2
0	0.5	1	17	infinite	0.42	2
0	0.5	1	17	infinite	0.46	2
0	0.5	1	17	infinite	0.5	2
0	0.5	1	17	infinite	0.54	2
0	0.5	1	17	infinite	0.58	2
0	1	1	18	infinite	0.62	2
0	1	1	18	infinite	0.66	2
0	1	1	18	infinite	0.7	2
0	1	1	18	infinite	0.74	2
0	1	1	18	infinite	0.78	2
0	1	1	18	infinite	0.82	2
0	1	1	18	infinite	0.86	2
0	0	1	20	infinite	0.9	2
0	0	1	20	infinite	0.94	2
0	0	1	20	infinite	0.98	2
0	0	1	20	infinite	1.02	2
0	0	1	20	infinite	1.06	2
0	0	1	20	infinite	1.1	2
0	0	1	20	infinite	1.14	2
0	0	1	20	infinite	1.18	2
0	0	1	20	infinite	1.22	2
0	0	1	20	infinite	1.26	2
0	0	1	20	infinite	1.3	2
0	0	1	20	infinite	1.34	2
0	0	1	20	infinite	1.38	2
0	0	1	20	infinite	1.42	2
0	0	1	20	infinite	1.46	2
0	0	1	20	infinite	1.5	2
0	0	1	20	infinite	1.54	2
0	0	1	20	infinite	1.58	2
0	0	1	20	infinite	1.62	2
0	0	1	20	infinite	1.66	2
0	0	1	20	infinite	1.7	2
0	0	1	20	infinite	1.74	2
0	0	1	20	infinite	1.78	2
0	0	1	20	infinite	1.82	2
0	0	1	20	infinite	1.86	2
0	0	1	20	infinite	1.9	2
0	0	1	20	infinite	1.94	2
0	0	1	20	infinite	1.98	2
